Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	rate_12	rate_21	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
66	-1586.94	-1584.71	-2.23252	0.238587	0.208123	0.0762073	-1.43302	-1.56962	-2.5743	-1.45767	-1.52615	-1.40114	0.01824232	0.04070472	0.1163075	0.02580871	0.0858508	0.553056	0.361093	0.232778	0.217371	0.246317
67	-1586.87	-1585.07	-1.79617	0.245188	0.203662	0.0763637	-1.40573	-1.59129	-2.57225	-1.40168	-1.48236	-1.42756	0.01338027	0.02416923	0.1163075	0.02469567	0.181672	0.054203	0.764125	0.246183	0.227102	0.239893
68	-1586.59	-1584.76	-1.83688	0.23664	0.169858	0.0652232	-1.44121	-1.77279	-2.72994	-1.46102	-1.56132	-1.47987	0.01338027	0.02416923	0.09665696	0.03296637	0.181672	0.054203	0.764125	0.231999	0.209859	0.227667
69	-1585.01	-1583.2	-1.80813	0.198015	0.174364	0.063179	-1.61941	-1.74661	-2.76178	-1.28221	-1.57515	-1.36443	0.01157321	0.01941172	0.09665696	0.03847706	0.375353	0.0413743	0.583273	0.277425	0.206976	0.255526
70	-1584.09	-1582.19	-1.9047	0.241099	0.226916	0.0622918	-1.42255	-1.48318	-2.77593	-1.37098	-1.5181	-1.37194	0.0103649	0.02291688	0.09413783	0.03847706	0.60124	0.0264124	0.372348	0.253857	0.219129	0.253614
71	-1584.85	-1582.48	-2.36087	0.241099	0.258248	0.0600212	-1.42255	-1.35384	-2.81306	-1.42114	-1.69313	-1.26535	0.02133633	0.0239403	0.09374288	0.03881724	0.60124	0.0264124	0.372348	0.241439	0.183942	0.282141
72	-1586.78	-1584.12	-2.65164	0.245546	0.252365	0.065537	-1.40427	-1.37688	-2.72514	-1.41586	-1.66713	-1.31728	0.02133633	0.03051634	0.09374288	0.06002502	0.60124	0.0264124	0.372348	0.242716	0.188788	0.267862
73	-1584.39	-1581.77	-2.61876	0.243017	0.236939	0.0547616	-1.41462	-1.43995	-2.90477	-1.44287	-1.66713	-1.38068	0.01674612	0.04679961	0.09524415	0.04069799	0.60124	0.0264124	0.372348	0.236249	0.188788	0.251408
74	-1583.85	-1581.4	-2.44937	0.24825	0.218248	0.0547616	-1.39332	-1.52212	-2.90477	-1.32861	-1.44299	-1.40628	0.006898197	0.06923237	0.09524415	0.04069799	0.60124	0.0264124	0.372348	0.264846	0.236221	0.245054
75	-1585.4	-1582.42	-2.98046	0.220565	0.228877	0.0588433	-1.51156	-1.47457	-2.83288	-1.26581	-1.4999	-1.2787	0.01294565	0.08849265	0.1097384	0.04069799	0.165304	0.123945	0.710751	0.28201	0.223152	0.278399
76	-1586.19	-1583.19	-2.99657	0.234101	0.235463	0.0563269	-1.452	-1.4462	-2.87658	-1.26703	-1.4728	-1.22024	0.01294565	0.08760979	0.09168182	0.04387031	0.471291	0.353372	0.175336	0.281667	0.229281	0.29516
77	-1586.49	-1583.68	-2.80914	0.25665	0.264503	0.0648583	-1.36004	-1.3299	-2.73555	-1.24657	-1.52863	-1.30071	0.009469926	0.1027002	0.09168182	0.03956358	0.471291	0.353372	0.175336	0.28749	0.216832	0.272338
78	-1588.01	-1584.93	-3.08578	0.227841	0.264503	0.0609564	-1.47911	-1.3299	-2.7976	-1.32882	-1.38388	-1.39933	0.01613053	0.0761545	0.07699504	0.06906781	0.471291	0.353372	0.175336	0.264789	0.250604	0.246763
79	-1583.78	-1580.8	-2.97385	0.218046	0.264581	0.053859	-1.52305	-1.32961	-2.92139	-1.29843	-1.43512	-1.37873	0.0151484	0.07711113	0.09112646	0.04283627	0.20026	0.150154	0.649586	0.272961	0.238088	0.251897
80	-1585.65	-1582.4	-3.24774	0.227313	0.289989	0.0467191	-1.48143	-1.23791	-3.0636	-1.25858	-1.48379	-1.30073	0.02468079	0.06732787	0.07327656	0.04498974	0.20026	0.150154	0.649586	0.284058	0.226776	0.272334
81	-1584.49	-1580.95	-3.53489	0.256888	0.290498	0.0444148	-1.35912	-1.23616	-3.11418	-1.2245	-1.59498	-1.35562	0.02282124	0.0796675	0.09519983	0.04718843	0.20026	0.150154	0.649586	0.293906	0.202912	0.257788
82	-1585.47	-1581.97	-3.49667	0.256888	0.301082	0.045901	-1.35912	-1.20037	-3.08127	-1.39963	-1.53819	-1.3441	0.03367438	0.06792971	0.09519983	0.04029013	0.253885	0.140086	0.606029	0.246687	0.214769	0.260773
83	-1585.9	-1583.15	-2.75041	0.29111	0.280143	0.053492	-1.23405	-1.27245	-2.92822	-1.38141	-1.53893	-1.28474	0.008267092	0.0524311	0.08852644	0.06310152	0.253885	0.140086	0.606029	0.251223	0.214612	0.276724
84	-1584.77	-1582.05	-2.71858	0.232321	0.272836	0.058439	-1.45963	-1.29888	-2.83977	-1.32959	-1.51362	-1.28474	0.008953309	0.0524311	0.08852644	0.07057233	0.209021	0.022334	0.768645	0.264586	0.220111	0.276724
85	-1586.64	-1583.9	-2.73365	0.271047	0.242547	0.0554573	-1.30546	-1.41656	-2.89214	-1.31728	-1.51362	-1.26758	0.009195004	0.05244496	0.07734147	0.0729947	0.209021	0.022334	0.768645	0.267864	0.220111	0.281513
86	-1586.17	-1582.9	-3.2747	0.267676	0.28554	0.0464112	-1.31798	-1.25337	-3.07022	-1.1909	-1.62943	-1.26041	0.01075428	0.07923666	0.07734147	0.07197514	0.209021	0.022334	0.768645	0.303948	0.196042	0.283538
87	-1584.36	-1581.12	-3.23374	0.246068	0.276494	0.0435688	-1.40215	-1.28557	-3.13342	-1.25893	-1.67622	-1.31984	0.01456635	0.08171049	0.08529778	0.04862257	0.209021	0.022334	0.768645	0.283958	0.187079	0.267178
88	-1587.56	-1583.9	-3.66186	0.255573	0.25929	0.0456762	-1.36425	-1.34981	-3.08618	-1.22226	-1.59827	-1.26941	0.0140532	0.1191572	0.07236735	0.08563967	0.307262	0.0195601	0.673178	0.294564	0.202247	0.280998
89	-1586.68	-1583.29	-3.3956	0.278708	0.280689	0.0439387	-1.27759	-1.27051	-3.12496	-1.14436	-1.59827	-1.29979	0.01191243	0.09523007	0.07236735	0.06344527	0.307262	0.0195601	0.673178	0.318427	0.202247	0.272589
90	-1587.59	-1584.64	-2.9532	0.278708	0.263767	0.0462873	-1.27759	-1.33269	-3.07289	-1.16465	-1.8375	-1.30126	0.01124434	0.05604739	0.07236735	0.06344527	0.509869	0.0324579	0.457673	0.312031	0.159215	0.272189
91	-1588.98	-1586.4	-2.57765	0.221808	0.262699	0.0533896	-1.50594	-1.33675	-2.93014	-1.15243	-1.7909	-1.25611	0.0118971	0.028705	0.0901637	0.06344527	0.768616	0.0489296	0.182455	0.31587	0.166811	0.284758
92	-1588.85	-1585.76	-3.0891	0.21654	0.302041	0.0542265	-1.52998	-1.19719	-2.91459	-1.19768	-1.80359	-1.32698	0.02335549	0.03968315	0.0901637	0.06344527	0.246192	0.645779	0.10803	0.301894	0.164707	0.265278
93	-1585.4	-1583	-2.3955	0.21654	0.225675	0.0622637	-1.52998	-1.48866	-2.77638	-1.23998	-1.80359	-1.32113	0.02335549	0.03004058	0.0901637	0.03547076	0.570627	0.17898	0.250393	0.28939	0.164707	0.266833
